"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","12211","NY","Albany-Schenectady-Troy, NY",9957,60,22.8571428571429,104.5,9.71428571428571,8.0551724137931
"Zip","12209","NY","Albany-Schenectady-Troy, NY",10214,60,10.8108108108108,76.5,0.571428571428571,8.0551724137931
"Zip","12061","NY","Albany-Schenectady-Troy, NY",10275,60,19.4029850746269,89,8,8.0551724137931
"Zip","12803","NY","Albany-Schenectady-Troy, NY",10388,60,19.1489361702128,89,7.14285714285714,8.0551724137931
"Zip","12033","NY","Albany-Schenectady-Troy, NY",10628,60,11.7647058823529,107.5,6,8.0551724137931
"Zip","12018","NY","Albany-Schenectady-Troy, NY",10641,60,21.1267605633803,75,4.57142857142857,8.0551724137931
"Zip","12198","NY","Albany-Schenectady-Troy, NY",10654,60,18.75,83,4.85714285714286,8.0551724137931
"Zip","12009","NY","Albany-Schenectady-Troy, NY",10700,60,17.5,96,7.71428571428571,8.0551724137931
"Zip","12077","NY","Albany-Schenectady-Troy, NY",10841,60,20,80.5,5.42857142857143,8.0551724137931
"Zip","12822","NY","Albany-Schenectady-Troy, NY",10883,60,23.8095238095238,118,10,8.0551724137931
"Zip","12090","NY","Albany-Schenectady-Troy, NY",10946,60,11.2903225806452,146,6.28571428571429,8.0551724137931
"Zip","12123","NY","Albany-Schenectady-Troy, NY",11016,60,7.5,84,1.14285714285714,8.0551724137931
"Zip","87114","NM","Albuquerque, NM",1788,59,23.1788079470199,68,3.2,8.02758620689655
"Zip","87111","NM","Albuquerque, NM",1820,59,24.4274809160305,61,1.6,8.02758620689655
"Zip","87120","NM","Albuquerque, NM",1957,59,31.3380281690141,73,8.8,8.02758620689655
"Zip","87121","NM","Albuquerque, NM",2104,59,14.7222222222222,63,0.4,8.02758620689655
"Zip","87124","NM","Albuquerque, NM",2366,59,19.1011235955056,65,0.8,8.02758620689655
"Zip","87109","NM","Albuquerque, NM",2858,59,26.7605633802817,57,2.8,8.02758620689655
"Zip","87112","NM","Albuquerque, NM",2912,59,29.616724738676,66,8,8.02758620689655
"Zip","87105","NM","Albuquerque, NM",3057,59,18.407960199005,82,4,8.02758620689655
"Zip","87123","NM","Albuquerque, NM",3192,59,25.4752851711027,64,3.6,8.02758620689655
"Zip","87110","NM","Albuquerque, NM",3213,59,27.8985507246377,66,7.2,8.02758620689655
"Zip","87108","NM","Albuquerque, NM",3251,59,27.0718232044199,88,9.6,8.02758620689655
"Zip","87031","NM","Albuquerque, NM",3920,59,16.9971671388102,76,2.4,8.02758620689655
"Zip","87144","NM","Albuquerque, NM",4296,59,20.4968944099379,66.5,1.2,8.02758620689655
"Zip","87107","NM","Albuquerque, NM",5199,59,23.4285714285714,74,6,8.02758620689655
"Zip","87106","NM","Albuquerque, NM",5506,59,24.390243902439,71.5,5.6,8.02758620689655
"Zip","87102","NM","Albuquerque, NM",6761,59,21.6666666666667,91,7.6,8.02758620689655
"Zip","87002","NM","Albuquerque, NM",7788,59,15.4255319148936,96,4.4,8.02758620689655
"Zip","87122","NM","Albuquerque, NM",8733,59,22.9411764705882,80,6.8,8.02758620689655
"Zip","87113","NM","Albuquerque, NM",9080,59,35.8208955223881,60,6.4,8.02758620689655
"Zip","87104","NM","Albuquerque, NM",9285,59,22.4489795918367,74.5,5.2,8.02758620689655
"Zip","87004","NM","Albuquerque, NM",10030,59,16.4556962025316,94,4.8,8.02758620689655
"Zip","87048","NM","Albuquerque, NM",10072,59,21.2121212121212,96.5,8.4,8.02758620689655
"Zip","87059","NM","Albuquerque, NM",10156,59,26.5957446808511,87.5,9.2,8.02758620689655
"Zip","87043","NM","Albuquerque, NM",10911,59,25,107,10,8.02758620689655
"Zip","87047","NM","Albuquerque, NM",10927,59,16.6666666666667,79,2,8.02758620689655
"Zip","18103","PA","Allentown-Bethlehem-Easton, PA-NJ",3114,67,14.5,65,0.588235294117647,8.35862068965517
"Zip","18104","PA","Allentown-Bethlehem-Easton, PA-NJ",3361,67,20,72,2.94117647058824,8.35862068965517
