Zip,Median_Value_Per_SQFT_2017-09_to_2018_08_avg,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,Sale_Price_2017-08_to_2018-07_avg
33009,189.1666667,10.63416667,214108.3333
45011,101.5833333,10.725,196900
6902,241.0833333,14.01833333,397533.3333
27410,104.3333333,12.3725,204683.3333
89121,121.4166667,13.63083333,187025
10028,1391.666667,29.42166667,1191808.333
92345,151.75,15.17583333,240891.6667
92804,374.6666667,17.84666667,
7302,815.9166667,22.39,
65203,105.3333333,12.5725,
27587,126.8333333,14.37416667,
47906,105.0833333,11.8175,
8753,161.1666667,11.87416667,243775
92336,217.25,16.40083333,440825
92126,393.0833333,19.0775,540241.6667
60634,220.0833333,12.22166667,
30188,123.0833333,12.5825,226300
46307,118.1666667,11.25666667,213575
75228,122.5,9.9875,218866.6667
27406,74.25,10.2575,
98103,564.9166667,23.63833333,746183.3333
77450,105.75,10.9725,252775
99301,141.5833333,13.02333333,
77845,128.5833333,11.015,
20011,416.8333333,17.99333333,566100
90019,626.25,24.08583333,1026000
60016,184.3333333,11.0675,
43130,99.33333333,10.94416667,
76244,109,11.90583333,246583.3333
28314,72.5,11.03916667,
27610,103.4166667,10.97916667,171791.6667
77095,91.75,10.53916667,214775
87120,129.9166667,12.78333333,197900
92503,249.9166667,16.12333333,380508.3333
91911,307,16.68166667,453441.6667
21740,108.9166667,12.04,
94536,631.6666667,26.82583333,942966.6667
40475,97.91666667,12.99333333,
7002,186.3333333,16.46,
90280,354.1666667,15.9225,416208.3333
28078,126.0833333,14.085,286158.3333
23320,134.0833333,12.86166667,239175
43230,128,11.16416667,194266.6667
22191,200.0833333,13.98166667,306441.6667
89117,155,16.83916667,299600
19111,125.6666667,11.67833333,168058.3333
34135,175.1666667,11.17083333,
46227,92.75,9.613333333,
92592,210.1666667,16.73,454466.6667
11236,370.5,17.43083333,
10027,946.25,28.605,
91730,291.0833333,17.09916667,421116.6667
30080,145.3333333,12.67583333,266383.3333
74012,86.33333333,10.39666667,
21117,160.5833333,11.7025,239758.3333
95747,227.25,17.67,461366.6667
32244,94.41666667,11.11416667,139733.3333
90201,357.4166667,17.22583333,
92109,648.75,21.235,802066.6667
30052,95.66666667,11.48666667,195208.3333
30041,138.75,14.69083333,339725
92101,574.75,17.42666667,555941.6667
32822,120.6666667,10.495,
34711,128.6666667,13.72583333,250675
32218,89.75,11.51666667,161641.6667
7093,275.3333333,13.02,
90004,775.8333333,24.565,
33186,175.75,12.34833333,277125
32256,118.25,11.30166667,160675
30062,146.5,14.265,314900
78641,130,12.16416667,258591.6667
90706,369.6666667,17.76,
60626,224,9.223333333,
48103,184.4166667,14.52666667,
30331,73.33333333,9.394166667,
2155,385.4166667,18.9425,529341.6667
75217,90.41666667,7.013333333,
10701,277.1666667,13.54833333,
38401,111.0833333,11.58333333,172391.6667
33012,163.5833333,10.56833333,204475
91342,328.6666667,16.215,488050
92335,249.75,15.5025,324041.6667
37130,120.5833333,13.10416667,
95123,597,23.995,918325
11372,551.8333333,22.96666667,
43026,133,11.3525,211225
80634,195.3333333,14.69166667,
27834,63.25,8.675,
89052,185.3333333,17.1675,366266.6667
92021,302.75,16.74,448283.3333
29072,99.66666667,11.23166667,195108.3333
93065,325.75,17.3725,559591.6667
23454,165.5833333,14.45916667,272483.3333
22193,205.5833333,14.445,309350
75206,230.25,13.955,436091.6667
45840,87.66666667,12.98666667,
44130,95.33333333,9.5475,129625
48185,112.25,10.5575,133416.6667
75035,134.6666667,14.17,346950
20001,609,18.37166667,668183.3333
33063,149.4166667,9.643333333,154900
27858,85.41666667,9.925,
92627,534.5833333,19.71416667,
32174,127.6666667,12.9075,232641.6667
2360,211.4166667,15.15416667,335258.3333
