5Yforecast2023.Household.Median.Income,ZIP.Code,CYE2018..Housing.Value.Median.Housing.Value._avg,5Yforecast2023..Median.Housing.Value._avg,CYE2018..Mean..Household.Income._avg,CYE2018..5.Year.Projected.Population.Growth._avg,CYE2018..Housing.Units.Vacant._avg,5Yforecast2023....Housing.Units..Vacant._avg,CYE2018.Median.Year.Structure.Built._avg,count,FILTER_Median_Value_Per_SQFT_2017.09_to_2018_08,Price_to_Rent_Ratio_2017.09_to_2018.08_avg,FILTER_Sale_Price_2017.08_to_2018.07_avg,FILTER_ZHVI,SCORING_price_to_rent_ratio_scaled_0_1,DISPLAY_state,DISPLAY_city,FILTER_days_on__market_bin,SCORING_market_health_index_scaled_0_1,FILTER_estimated_rent,SCORING_days_on_market_scaled_0_1,SCORING_buyer_seller_index_scaled_0_1,DaysOnMarket_Average,ForecastYoYPctChange,YoY,MarketHealthIndex,BuyerSellerIndex,PctPriceCut,median_value_per_sqft_avg_scaled_0_1,CYE2018.Median.Year.Built._avg_scaled_0_1,5Yforecast2023.Household.Median.Income_scale_0_1,CYE2018..Housing.Value.Median.Housing.Value._avg_scale_0_1,5Yforecast2023..Median.Housing.Value._avg_scale_0_1,CYE2018..Mean..Household.Income._avg_scale_0_1,CYE2018..5.Year.Projected.Population.Growth._avg_scale_0_1,CYE2018..Housing.Units.Vacant._avg_scale_0_1,5Yforecast2023....Housing.Units..Vacant._avg_scale_0_1,change_in_percent_vacant_23_less_18,SCORING_change_in_percent_vacant_23_less_18_scale_0_1,anual_income_to_monthly_rent_ratio,SCORING_annual_income_to_monthly_rent_ratio_scale_0_1,GreatSchoolRating,year_built_bin,SCORING_school_score,SCORING_year_built
74453.8965517,92111,452805.724138,473105.965517,82614.8965517,-1.12379310345,0.584482758621,0.590689655172,1971.4137931,29,411.0833333,19.12833333,531650.0,593000.0,0.415480419382,CA,San Diego,less than 60 days,0.8898632786,2738,0.0265957446809,0.4615384615,42.5,0.039365936,5.572369592,8.898632786,4.615384615,34.02777778,0.197218019818,0.9109686043,0.235803636737,0.416003926793,0.435102519818,0.189102848227,0.184852797778,0.00801791038321,0.00805506815672,0.00620689655172,0.623799840001,30.1734465127,0.153037362063,1,pre 1980,0.1,0.579793103448
37099.962963,92113,337418.111111,366537.333333,47076.5185185,-3.69259259259,2.45703703704,2.31518518519,1963.96296296,27,355.9166667,16.31916667,373175.0,393800.0,0.343687972348,CA,San Diego,less than 60 days,0.3671454219,2178,0.0425531914894,0.1538461538,50.0,0.037854241,8.724461623,3.671454219,1.538461538,14.89361702,0.169398218205,0.893777025757,0.0526910825525,0.29285586791,0.320847379605,0.0531270490369,0.139118852391,0.0337055327649,0.0315715271104,-0.141851851852,0.597064292745,21.6145631398,0.0690424541889,1,pre 1980,0.1,0.475481481481
71572.5588235,92114,302327.823529,327471.117647,74772.3823529,-1.87205882353,0.805588235294,0.748823529412,1969.20588235,34,323.25,16.40166667,429300.0,440400.0,0.34579638299,CA,San Diego,less than 60 days,0.4770749896,2327,0.0382978723404,0.3846153846,48.0,0.044028156,3.501762632,4.770749896,3.846153846,25.58139535,0.152924861321,0.905874209398,0.221679043684,0.255405567241,0.278963423141,0.159096072599,0.171530954746,0.0110510261955,0.0102114951802,-0.0567647058824,0.612428811468,32.1325235724,0.172263292594,2,pre 1980,0.2,0.548882352941
63973.65625,92115,382437.3125,405496.28125,73355.96875,-0.3121875,1.6028125,1.5859375,1961.6875,32,387.0,16.595,473391.6667,522400.0,0.350737304812,CA,San Diego,less than 60 days,0.7208258528,2492,0.0287234042553,0.4230769231,43.5,0.044165391,4.396482814,7.208258528,4.230769231,29.89130435,0.185073121533,0.888526765113,0.184428496672,0.340902855954,0.362616331364,0.15367663642,0.199302320406,0.0219873157874,0.0216269821943,-0.016875,0.619631851668,29.4365845706,0.145805968873,5,pre 1980,0.5,0.443625
71020.4090909,92116,492704.727273,503354.818182,86235.1818182,-1.07772727273,0.433181818182,0.383181818182,1961.18181818,22,531.75,20.27916667,553200.0,621100.0,0.444891683151,CA,San Diego,less than 60 days,0.8182571468,2777,0.0265957446809,0.2692307692,42.5,0.045591692,4.036850921,8.182571468,2.692307692,28.125,0.258068582955,0.887359986575,0.218972352899,0.458586355345,0.467533140645,0.202954667293,0.1856729366,0.00594237032075,0.00522534233475,-0.05,0.613650340866,31.0533603955,0.161672634014,7,pre 1980,0.7,0.436545454545
86227.8888889,92117,519256.055556,525003.138889,94685.0277778,-1.18972222222,0.259722222222,0.260277777778,1962.27777778,36,467.4166667,19.97333333,628266.6667,653500.0,0.437075655652,CA,San Diego,less than 60 days,0.8828200525,2773,0.0234042553191,0.4871794872,41.0,0.031107881,4.326309068,8.828200525,4.871794872,35.71428571,0.225626155673,0.889888735066,0.293520872987,0.486923405163,0.490742896341,0.235285196174,0.183679020405,0.00356285873551,0.00354933461475,5.55555555556E-4,0.622779355255,34.1453399848,0.19201660874,5,pre 1980,0.5,0.451888888889
120307.214286,92118,996647.714286,996601.142857,155618.214286,-1.72428571429,14.4307142857,14.5392857143,1961.07142857,14,995.9166667,21.91833333,1602441.667,1770300.0,0.486783033811,CA,Coronado,less than 120 days,0.3653500898,7096,0.132978723404,0.6794871795,92.5,0.022831723,1.788178473,3.653500898,6.794871795,22.84263959,0.492141536409,0.887105280506,0.460580984701,0.996422254801,0.996355992458,0.468425794906,0.174161851916,0.19795994356,0.198268136835,0.108571428571,0.642284203895,21.9304135126,0.0721421369176,4,pre 1980,0.4,0.435
96231.7,92119,481132.9,491804.6,104296.1,-0.0955,0.0,0.0,1969.95,20,363.8333333,19.30833333,565600.0,608600.0,0.420080588055,CA,San Diego,less than 60 days,0.9179671316,2718,0.036170212766,0.0769230769,47.0,0.037693066,5.880306193,9.179671316,0.769230769,22.85714286,0.173390485779,0.907591139825,0.342560511604,0.44623625962,0.455149836377,0.272058771639,0.203160143616,0.0,0.0,0.0,0.622679036416,38.3723693893,0.233499700628,8,pre 1980,0.8,0.5593
101398.0,92120,521996.541667,531547.5,119139.458333,0.188333333333,0.111666666667,0.0758333333333,1966.41666667,24,369.1666667,19.42,588566.6667,641400.0,0.422934396483,CA,San Diego,less than 60 days,0.907540395,2806,0.0260638297872,0.2051282051,42.25,0.039052074,4.667101828,9.07540395,2.051282051,27.51677852,0.176080013464,0.899438547916,0.367886208199,0.489848203902,0.497759284569,0.328851951962,0.20821340613,0.00153183872906,0.00103411776929,-0.0358333333333,0.616208471272,42.4588233547,0.273603217571,8,pre 1980,0.8,0.509833333333
87048.7058824,92123,442883.647059,455300.647059,91911.4705882,1.15764705882,2.40352941176,2.50764705882,1975.23529412,17,402.1666667,19.24083333,563211.1111,596500.0,0.418355524803,CA,San Diego,less than 60 days,0.9291534318,2681,0.036170212766,0.1666666667,47.0,0.043027661,5.837473385,9.291534318,1.666666667,25.37313433,0.192721465809,0.919786096257,0.297544596374,0.405414535954,0.416012951759,0.224673100847,0.225470705181,0.0329715173676,0.0341960753755,0.104117647059,0.641479967149,34.2825328565,0.193362987949,10,pre 1980,1.0,0.633294117647
