Zip,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
32225,209400,209800,217300,213600,207500,196200,197700,189900,178900,171700,180200,188400,189900,183400,169200,159900,156300,156900,156800,157400,153600,153200,160600,169700,164400,158200,149100,143700,145800,142500,1.52E+05,145200,149600,1.46E+05,149700,147600,1.39E+05,130500,134800,139800,136700,132400,127500,129500,124700,131700,1.45E+05,136900,149100,139200,139900,122800,127300,144800,150800,149700,141200,141300,147800,1.57E+05,164500,162600,160900,162500,164200,166100,165400,163900,163900,161400,160700,153900,147200,150100,151700,156100,156100,158900,163700,165500,168700,172900,174900,174200,170200,169500,178500,182600,1.84E+05,188200,185600,179500,173900,176400,186800,189900,191700,188400,190900,186400,191800,190100,194400,194500,196200,195600,195300,199500,207400,214800,210700,209800,200600,200100,209300,211500,212600,202200,210600,217500,224200,228300,227300,227100,225700,231400
27284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176400,182100,154900,142100,144800,152900,153600,1.48E+05,151100,155100,158900,1.60E+05,159200,158700,157600,152600,149100,1.56E+05,155400,153600,1.45E+05,135800,1.38E+05,1.39E+05,147400,149200,149100,154800,143900,149100,149800,165500,151800,149300,146600,158900,1.58E+05,1.52E+05,151300,152600,1.57E+05,156200,168800,171300,173600,159900,157500,154400,156600,156600,159400,166700,1.68E+05,1.67E+05,157500,157900,151800,150300,151800,159800,169500,170400,1.74E+05,172500,170800,166400,162600,166400,1.65E+05
63123,134800,1.39E+05,1.36E+05,139700,139600,140500,139600,137800,1.37E+05,136800,135100,133900,128200,128600,129300,133700,132100,133500,132500,136900,136300,136800,1.25E+05,120400,119100,128200,1.32E+05,131700,1.34E+05,134400,135800,127400,123900,1.20E+05,110100,108600,105800,119200,120500,123300,123100,127100,125500,124100,1.13E+05,109800,103800,103700,102700,110700,113700,118500,117300,117600,118300,115700,114100,107600,109400,115600,1.22E+05,122800,124300,126900,127500,125200,124100,1.26E+05,123800,118900,116100,117800,1.20E+05,119900,119900,123700,122300,123600,120800,124100,125500,127800,131200,139600,140700,139900,129300,129100,127800,131400,132600,1.33E+05,133700,132300,133500,132400,134900,140200,142700,140600,1.38E+05,137900,139500,138200,1.39E+05,141800,143100,144400,143300,143500,141700,140900,141700,146200,149600,150100,144300,146500,144100,146600,147300,1.49E+05,150800,147500,150900,149500
85251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181900,1.90E+05,204700,199900,198100,197600,206900,1.90E+05,181500,168300,177100,203500,221800,237300,217900,208100,197200,1.99E+05,195200,210200,215800,234700,224200,220700,2.12E+05,203600,219600,2.41E+05,2.50E+05,256600,262300,279500,272600,256100,260600,275400,281900,274800,251600,252300,260100,268400,2.75E+05,290900,301400,303700,274300,2.87E+05,278600,286800,262600,270600,275700,280200
93536,283700,275800,266300,254400,246500,238100,236100,230100,223500,2.10E+05,205400,198900,197600,187800,186400,182100,184100,180200,186200,187600,193600,195800,200500,203300,200800,192800,188600,183600,186100,188700,192600,189400,186900,181600,180600,174400,177200,172400,1.77E+05,171800,176800,169500,172200,168900,175500,168900,173400,176400,177700,1.80E+05,170600,1.73E+05,1.69E+05,171700,1.68E+05,1.67E+05,177700,182300,186600,184500,193900,202200,214600,222300,228100,225300,226800,230200,239100,233500,234200,236200,247200,252700,249900,244600,238300,231900,240500,244900,250800,2.51E+05,255900,2.59E+05,260400,255600,253600,252800,254400,258700,258100,263100,2.65E+05,269200,271600,273800,278100,275500,281600,281600,2.89E+05,2.87E+05,292400,293100,298300,3.01E+05,304800,3.07E+05,303800,310400,313200,323500,326100,326100,3.24E+05,323700,327600,321900,3.37E+05,350800,367600,357700,344500,339800,341300,338600
93550,,,,,,,,,,,,,,,,,,,1.03E+05,105800,106400,109100,109300,1.15E+05,118900,124600,122900,122100,121300,121100,116700,116300,115900,1.19E+05,116100,113800,111500,1.12E+05,113500,112200,105500,1.04E+05,107200,112100,1.12E+05,112500,109600,110900,106900,111600,108500,111500,1.09E+05,109500,112300,1.20E+05,124100,1.25E+05,1.27E+05,124100,127300,129500,139800,142800,139700,141500,143700,153300,1.53E+05,154700,160700,1.64E+05,171600,168600,174600,173200,176200,1.76E+05,175500,177400,176700,176700,1.77E+05,179600,182900,181900,181900,185400,184400,185400,186700,190800,196300,198400,201400,201600,202900,207800,208300,2.07E+05,208300,213800,219500,216600,222200,226800,229200,229600,226800,231300,230700,234800,239200,243700,244300,2.43E+05,245400,251900,2.56E+05,253100,254500,2.60E+05,264900,264700,2.65E+05,267300
33319,124300,101700,109700,1.06E+05,112400,1.02E+05,93300,90200,81500,7.60E+04,69900,6.80E+04,69800,60900,68300,63100,59400,52200,5.90E+04,62900,66100,62800,58400,53600,51800,54700,57900,56600,5.20E+04,50700,50600,52800,48400,49900,48600,48900,49400,50700,54200,54800,49300,48200,45600,51300,51300,4.80E+04,50200,47700,52400,53600,60500,60400,54900,52500,51900,54900,53800,56200,52800,54600,54700,62200,66400,67800,62200,60600,63900,69400,71200,68500,73700,67900,69500,63700,66900,70700,7.60E+04,78700,74700,71400,7.00E+04,69900,6.90E+04,75400,82700,82300,79600,72600,74100,72200,78500,82300,82100,80400,82300,82700,82300,7.80E+04,84200,88500,100700,103300,98600,88900,93200,102200,103600,103900,97100,108100,97800,96600,82700,90800,89700,102600,106600,113100,106800,98700,118600,118900,115700,9.30E+04,9.00E+04,9.60E+04
73160,106300,105300,104800,1.09E+05,110400,114100,116500,1.15E+05,112500,108500,111700,113100,1.16E+05,114100,114400,114400,117600,121300,119900,118200,115100,115300,1.15E+05,127500,126700,1.25E+05,111600,110900,109700,108500,110900,114600,118800,117300,119300,1.21E+05,124400,121500,117200,114200,113300,116200,117400,1.21E+05,121300,119700,114100,113400,110600,111800,109200,110300,108100,111100,1.15E+05,124300,125200,1.23E+05,113100,114400,116200,121900,123800,129700,127900,124300,117600,117400,115300,118500,122600,123500,122300,120700,1.20E+05,122500,123100,126700,1.29E+05,131900,131900,1.28E+05,125400,129700,129100,130700,127200,128500,128600,128900,128100,125700,125700,125300,126200,123400,124700,124700,125600,1.23E+05,121600,117600,119300,121400,126600,118800,117200,116500,128100,129800,131600,129700,135600,134200,137600,136500,137700,134200,135300,1.36E+05,139300,135500,136900,138900,140500,
77007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400400,398100,396300,394600,392100,395300,396300,395500,395600,393300,403500,401300,398300,383200,369500,380300,388500,400300,404800,399100,411100,389500,388900,3.84E+05,396800,407400,385400,384500,372400,393200,391600,400400,395800,386400,383500,380300,390800,386700,387200,387900,394100,399300,403500,401100,400900
32828,259900,250600,238300,249700,246400,243200,229400,223500,231800,229300,226400,214700,205700,201400,1.85E+05,171800,168100,176200,178100,175400,1.73E+05,185900,188300,188100,174800,176500,170400,168800,160300,161300,1.62E+05,1.58E+05,154900,161800,164700,160300,145700,149100,144600,1.50E+05,146400,156100,151900,151300,149500,155700,159900,165900,165400,175900,177400,183800,175200,179500,172100,171900,171300,183800,188400,1.89E+05,1.84E+05,185700,191300,196900,202400,203200,209100,210800,2.16E+05,215300,215300,214100,222800,223400,224200,220700,224100,225700,221100,217900,215100,216400,216900,220300,2.26E+05,225400,224400,221700,222700,223100,223800,236200,242100,249200,247500,242100,240100,244100,250400,254400,255700,259700,265300,261600,259800,259500,264100,2.71E+05,269700,274200,273800,276300,269800,269600,265100,265700,266900,273800,279600,281600,281500,284400,280500,281200,274800,279200
89123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197700,203100,209800,206300,210200,209500,2.10E+05,210300,209900,214400,220400,230800,232400,228200,218800,222800,220700,256800,268400,2.83E+05,255500,234400,234300,233600,2.46E+05,237600,2.38E+05,239900,2.41E+05,237700,241300,242300,244900,244400,247400,249300,251400,256500,259300,266400,268800,278500,274400,277100,269900,268700,266900,281700,292300,304200,311600
30135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78500,7.00E+04,68800,75200,82800,8.70E+04,84100,80100,79600,82300,84600,83600,81900,82900,92300,104600,110700,104200,1.05E+05,106700,118400,115300,1.14E+05,108900,110800,111700,110600,110900,106800,108800,1.10E+05,116200,117700,1.18E+05,122400,122600,124300,120900,120800,121100,123900,126100,1.42E+05,142600,142100,123200,130900,135900,141600,133700,133600,133800,1.38E+05,137900,138800,135900,136800,140700,143500,140200,138700,143100,151500,153500,150100,149200,149400,152100,154200,157600,158800,155600,155200,153500,1.58E+05,161100,170500,170600,166400,170100,174700,187100,
93535,,,,,,,,,,,,,,,,,,,98800,101700,105400,107100,108700,108700,107100,111200,110100,111600,107600,106600,107700,108200,106600,108200,109500,114200,111500,1.11E+05,106600,102400,94500,93900,94900,98500,101500,1.00E+05,101400,100100,99300,101100,100600,102700,100500,101300,107200,1.13E+05,117200,119700,121900,125700,127300,129200,133900,132100,135500,134200,140100,142800,145900,147100,147400,147600,148900,151200,155900,157800,156600,153300,153700,154900,155300,158900,1.62E+05,163400,162500,167900,170100,170600,168300,1.70E+05,170900,169500,172200,175800,188200,183500,1.89E+05,183100,190900,190400,193300,197400,202100,205600,206200,204800,209400,211700,212500,209800,211500,215100,211300,2.17E+05,219500,228300,231400,234500,241700,237500,240800,239900,247700,248400,246200,248600
23451,311500,308700,320600,3.24E+05,326500,342300,322700,322800,371600,407800,417300,358800,315700,308500,308500,314400,327900,326600,327400,316200,298800,298600,300700,290700,280800,268800,292700,324900,349600,379400,375400,373700,341200,360300,317200,307500,275200,302500,310100,313900,318800,307600,294900,283900,293500,313500,327200,3.29E+05,347300,320200,334100,3.10E+05,331800,329900,342500,335900,328100,3.33E+05,339100,345100,343900,347700,337800,3.31E+05,329500,351700,355400,367200,363200,364700,362100,331600,313500,309200,350400,361900,353200,3.38E+05,348700,343100,334900,324900,329700,375500,380100,371300,332400,338100,350900,340200,320200,325200,332400,364100,358100,355600,325600,329700,356600,359500,358900,341400,326100,322900,331500,345100,3.53E+05,356600,367600,372100,3.52E+05,3.52E+05,356900,374400,368500,361500,367900,391600,391100,371100,366500,357600,387100,387500,400700,370400
19446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254600,250900,253800,256800,260600,250900,251100,251900,246600,244100,244300,260300,260900,255200,255300,257700,260800,261800,258300,258800,260300,268800,264900,253300,247900,251700,249600,256600,259500,271300,264800,2.57E+05,252600,249900,251500,2.44E+05,250500,264900,255800,247700,236900,252700,2.49E+05,251100,251200,2.56E+05,267100,2.76E+05,275400,270200,266500,264100,262200,258100,277800,286500,300700,290400,284500,275700,284100,274200,270800,270900,287400,285600,279500,265900,
98682,226300,224400,220100,2.14E+05,2.19E+05,2.15E+05,214400,203900,197800,195600,191100,191400,187300,186300,188200,185300,186600,185300,185700,188300,1.82E+05,183300,1.77E+05,179600,178200,1.79E+05,177900,183300,189700,193100,187900,174400,163500,1.56E+05,160600,167200,166100,163500,1.73E+05,171400,171800,159800,161800,1.57E+05,153100,152300,154300,157300,157300,163600,161200,162400,161100,169300,184200,183500,175200,163100,168400,177800,182700,184600,186400,187700,191500,195200,1.96E+05,189500,191300,195300,204600,212400,212800,213700,204100,206900,2.08E+05,210900,210600,208400,211900,214700,218100,219300,218800,218200,220300,223200,227500,229100,232500,237500,233300,232600,231200,240800,251200,256700,258500,251800,249500,258700,263600,268700,260500,262600,2.80E+05,285900,291400,279900,291300,295300,299600,291100,289400,295700,295600,299900,305400,324600,331200,326900,325100,3.20E+05,319200,309400
89031,216300,204900,191200,1.86E+05,180600,175400,169100,162100,157200,152200,148400,142300,135700,127600,121700,116100,111600,109700,108100,108900,109700,1.11E+05,113300,1.12E+05,114500,113300,1.17E+05,114300,115200,1.12E+05,111800,107200,112100,110700,111600,103800,1.02E+05,99600,99400,103700,103700,101900,95900,95800,96200,96600,95600,98300,97600,99700,100200,105400,108800,110800,110500,112400,116400,120400,122100,124800,127300,130300,132800,136700,142800,145500,145800,145100,148200,153200,158300,157200,159100,1.61E+05,164700,163700,1.62E+05,163100,165400,164600,165500,164800,1.66E+05,166900,168800,1.70E+05,171300,1.76E+05,176300,176500,173600,174700,175800,177200,183900,185700,188500,185300,186400,187500,189200,191700,194500,197400,198300,199400,202200,205300,205600,205200,206100,208700,216900,218400,221400,2.19E+05,222600,228400,237400,244500,244700,243100,243300,2.48E+05,251400,
94122,858200,785200,780300,772200,785200,792300,798700,808800,804300,835200,799900,734800,672800,668800,696400,724400,742600,7.53E+05,731500,750900,7.63E+05,796800,809900,807700,780300,720100,676500,673200,695300,709200,698100,709200,711500,723300,734300,715500,707700,663100,663700,656400,6.67E+05,694400,6.96E+05,705100,676700,660400,660500,683600,6.97E+05,674700,6.64E+05,681800,679800,700800,718700,7.69E+05,797900,8.20E+05,832800,845500,837200,825500,814100,815100,823100,842600,873100,884700,8.73E+05,848300,8.63E+05,862800,887500,928800,956800,957500,953300,955300,962800,957800,984600,1029700,1058200,1119400,1126200,1106900,1075500,1107800,1140400,1171500,1176900,1205400,1.23E+06,1219800,1262600,1246600,1228200,1192100,1198100,1198900,1197100,1166400,1151500,1164500,1167200,1285100,1221900,1198600,1111400,1179600,1309300,1319600,1319900,1300100,1332400,1431100,1435300,1.51E+06,1500200,1530500,1483300,1.43E+06,1397500,1424500,1415100,
21122,,,,,,,,,,,,,,,,,,,,,,,,,,,,243300,252100,244600,248900,257200,256600,261100,258600,255300,251600,2.38E+05,244200,235700,234600,230800,236900,243600,236200,234800,228100,240100,234500,239400,2.27E+05,230500,228900,236200,235700,239100,242200,242900,251500,2.54E+05,263400,265600,270600,261300,253500,251300,257800,256700,253200,2.48E+05,243800,238700,241300,2.45E+05,247700,2.49E+05,250800,256100,252200,246100,246100,253100,268200,268700,266700,257500,256200,260900,264300,261700,257200,262200,2.64E+05,269300,249600,255200,254100,267200,268700,263700,264700,2.59E+05,269300,270900,272700,263200,262300,267400,267500,268900,258500,262900,263300,272900,278100,286100,288100,295700,287500,294700,283400,287700,286600,2.92E+05,298700,
78249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160100,159700,157900,150800,153700,156500,154900,148800,145300,154400,153100,1.58E+05,1.53E+05,156600,156900,154800,156700,149800,151300,151600,153300,1.59E+05,164200,171300,163800,168400,165800,172400,167700,170900,172300,170700,173500,175400,175300,174200,1.75E+05,176100,1.73E+05,170100,1.71E+05,170700,172700,177900,190300,193300,191600,179900,180600,1.81E+05,185900,186800,192600,194800,193300,191300,192200,191600,188500,180100,180500,182600,1.94E+05,202700,195900,1.92E+05,191200,1.90E+05,187600,182100,191800,197100,201700,199900,199800,194100,193300,191500,197800,1.98E+05,202600,204300,205500,205600,211200,215500,
33321,168600,149200,136900,143200,137900,141300,138500,139500,1.32E+05,121400,107400,105600,100800,1.03E+05,90600,85500,8.40E+04,8.20E+04,84300,87500,96200,104700,102500,95700,84500,78700,75500,73800,83500,85400,86300,74600,72200,67400,71700,69500,68900,64300,66700,69900,74600,77100,79600,81400,7.80E+04,79100,77200,80600,7.50E+04,71100,73200,76200,8.30E+04,83200,86100,87300,85900,85500,8.60E+04,91400,98200,102100,103300,99500,101900,103100,107800,111300,1.15E+05,121100,118800,125600,122900,122700,122600,124300,123500,121500,122600,1.28E+05,1.29E+05,129500,130800,129200,133900,134200,1.35E+05,132600,138100,143700,153300,146400,141200,135300,143800,150500,142300,142100,140900,155500,156400,156800,154100,153600,157200,157500,158100,155900,1.54E+05,155300,158900,165800,162300,170600,172200,188600,183100,186700,184700,1.84E+05,178100,177200,178300,185700,185700,197700
