Zip,FILTER_Median_Value_Per_SQFT_2017-09_to_2018_08,Price_to_Rent_Ratio_2017-09_to_2018-08_avg,FILTER_Sale_Price_2017-08_to_2018-07_avg,PctPriceCut,BuyerSellerIndex,MarketHealthIndex,FILTER_ZHVI,YoY,ForecastYoYPctChange,DaysOnMarket_Average,median_value_per_sqft_avg_scaled_0_1,SCORING_price_to_rent_ratio_scaled_0_1,SCORING_buyer_seller_index_scaled_0_1,SCORING_market_health_index_scaled_0_1,FILTER_days_on__market_bin,SCORING_days_on_market_scaled_0_1
10025,1342.333333,26.705,,8.189655172,1.80102916,5.731943102,1115100.0,1.317463202,0.047263923,130.0,0.6668347619768028,0.609113445270771,0.180102916,0.5731943102,120+ days,0.2127659574468085
60657,472.0,13.59083333,392008.3333,18.8466948,1.262458472,3.131473553,346700.0,0.638606676,0.0434439,80.25,0.22793746848209784,0.273961341460298,0.1262458472,0.31314735530000004,less than 90 days,0.10691489361702128
10023,1670.916667,26.10583333,,8.232931727,2.43567753,3.161165585,1489400.0,-7.421680756,0.081047402,128.25,0.8325348799798286,0.5938008466866008,0.243567753,0.3161165585,120+ days,0.20904255319148937
77494,111.3333333,11.57583333,327241.6667,,,,,,,,0.0460581610186586,0.22246500881698997,NA,NA,NA,NA
60614,516.4166667,14.5075,,19.38426454,3.255813953,1.938958707,424000.0,0.904331271,0.032533019,89.0,0.2503361909732728,0.2973881264535255,0.3255813953,0.1938958707,less than 90 days,0.125531914893617
79936,86.91666667,9.768333333,130100.0,,,,,,,,0.03374516725668179,0.1762716484704439,NA,NA,NA,NA
77449,89.75,9.7925,178091.6667,,,,,,,,0.03517397881996974,0.17688926371744743,NA,NA,NA,NA
77084,84.83333333,9.63,,,,,,,,,0.03269457051437216,0.17273633366556776,NA,NA,NA,NA
10002,1439.25,24.52916667,,,,,,,,,0.7157085224407463,0.5535067768151499,NA,NA,NA,NA
10467,258.0833333,18.07916667,,10.16949153,6.295025729,8.170832758,411100.0,11.25845737,0.087796157,152.5,0.12006219531013615,0.3886673993713103,0.6295025729,0.8170832758,120+ days,0.26063829787234044
60640,411.1666667,11.17166667,,20.81447964,1.694352159,2.342217926,240000.0,0.083402836,0.067958333,80.5,0.1972600437216339,0.2121359265506402,0.1694352159,0.2342217926,less than 90 days,0.1074468085106383
94109,1179.0,22.88,,3.47826087,1.833333333,9.736914791,1246400.0,2.906208719,0.087669288,41.5,0.5844679778113969,0.5113598609726802,0.18333333329999998,0.9736914791,less than 60 days,0.02446808510638298
11226,556.3333333,24.935,,7.228915663,3.739279588,5.988123187,816400.0,20.30651341,0.01633268,146.75,0.27046562445789213,0.5638784533210662,0.3739279588,0.5988123187000001,120+ days,0.24840425531914895
10016,1329.083333,23.49083333,829066.6667,6.681514477,4.013722127,4.863278553,1045600.0,0.741882648,0.049009181,164.0,0.6601529667170953,0.5269706184671217,0.4013722127,0.4863278553,120+ days,0.2851063829787234
37013,119.0833333,11.695,200466.6667,13.50649351,1.276595745,9.09888137,206700.0,11.42857143,0.090822448,51.5,0.049966380887544126,0.22551049094022338,0.1276595745,0.909888137,less than 60 days,0.045744680851063826
32162,163.75,9.941666667,,,,,,,,,0.07249117498739284,0.1807014405428199,NA,NA,NA,NA
11375,670.25,23.67333333,,12.08530806,5.214408233,2.433365557,972500.0,3.259715439,0.047973265,129.5,0.32791225416036307,0.5316346783715403,0.5214408233000001,0.2433365557,120+ days,0.21170212765957447
11235,586.6666667,22.79416667,,8.950617284,6.174957118,4.585002072,725500.0,5.927872682,0.061765679,175.75,0.28576231301058996,0.5091662621073885,0.6174957118,0.4585002072,120+ days,0.3101063829787234
78660,122.0,11.58416667,241008.3333,,,,,,,,0.05143721633888049,0.22267797975925785,NA,NA,NA,NA
90250,471.1666667,18.33333333,615475.0,14.01869159,0.181818182,9.11338213,618500.0,6.289740505,0.099859337,44.0,0.2275172298033283,0.39516300774361723,0.018181818199999998,0.911338213,less than 60 days,0.029787234042553193
60647,332.4166667,14.175,,22.55125285,1.561461794,3.750172628,384300.0,1.882290562,0.054964871,73.5,0.15754748698940998,0.28889059265506406,0.1561461794,0.37501726280000003,less than 90 days,0.0925531914893617
37211,150.75,12.8675,247533.3333,30.07712082,6.382978723,9.214196934,251000.0,7.864202836,0.079486056,51.0,0.06593545133635906,0.25547547854532443,0.6382978723,0.9214196934000001,less than 60 days,0.04468085106382979
10029,978.9166667,27.46,,,,,,,,,0.48356866701966716,0.6284085972041198,NA,NA,NA,NA
10009,1419.416667,25.96166667,,,,,,,,,0.7057068416540595,0.5901164525032585,NA,NA,NA,NA
60618,359.1666667,14.21,399775.0,24.6628131,5.049833887,2.310454357,388700.0,2.020997375,0.036496012,79.5,0.17103714911749873,0.28978506989700736,0.5049833887,0.23104543569999997,less than 90 days,0.10531914893617021
10011,1705.0,26.00916667,,6.914893617,1.749571184,7.605993647,1711400.0,-2.970858374,0.063277434,130.5,0.8497226424609178,0.5913303859030387,0.1749571184,0.7605993647,120+ days,0.21382978723404256
77573,108.0833333,9.881666667,270800.0,24.50980392,3.918128655,4.404778346,262500.0,5.548854041,0.030655238,56.5,0.044419230105900154,0.17916805098520278,0.3918128655,0.44047783459999995,less than 60 days,0.05638297872340425
10128,1264.083333,26.16083333,,7.384615385,2.469982847,5.112553515,1254300.0,2.576054956,0.026928964,137.75,0.6273743484619264,0.5952064537810832,0.2469982847,0.5112553515,120+ days,0.22925531914893618
77584,104.75,10.24833333,256250.0,,,,,,,,0.042738275340393345,0.18853876485471133,NA,NA,NA,NA
