RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
94413,84047,Utah,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193400,194900,198e3,202700,199e3,194900,201300,194200,196800,193e3,200200,196400,194500,198500,196900,199500,212100,221500,222400,216800,218400,213100,209800,214100,224200,225800,224200,227900,235600,233400,236800,233600,235700,232200,236200,236800,239600,241200,243900,234200,232500,236100,242100,242800,242700,249200,259700,262800,269500,263700,259500,256700,258300,271800,270600,265300,249300,256e3,277200,299800,292300,
70078,28625,North Carolina,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134500,142100,139400,142900,144600,147800,142200,139600,144200,145500,146100,141600,132700,132600,131e3,141300,141e3,141400,137e3,141200,145e3,146500,136500,135700,144900,162900,173600,172400,171900,163300,158400,159400,160100,17e4
84296,60031,Illinois,1174,,,,,,,,,,,,,,,,,,,,,,,,,,240400,207700,204800,185100,213800,227400,236200,195500,171400,171200,171800,175100,167600,188e3,198100,192400,186800,157600,163400,169700,168900,175100,162200,184e3,157e3,160500,165300,158900,167100,166100,197700,202900,191600,177e3,159700,166e3,153800,161100,158200,188e3,206400,213200,210400,195800,200300,209e3,214600,207500,212700,208100,211300,193100,190900,184100,182100,181500,182300,182900,183900,209700,209600,194400,182900,194600,217400,219100,218800,218700,211300,210200,206300,208500,203700,201100,210300,210300,212300,208100,2e5,222800,23e4,240300,230900,224600,232800,232700,226600,211700,216200,221900,246700,263100,250700,248300,228900,271300,265200,252500,226600,209400,222700
82220,55369,Minnesota,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207800,193200,202500,206800,217500,219700,219300,229900,230900,235200,226700,228300,220200,224700,216100,221900,221900,235200,232900,243200,243700,251e3,246300,235800,222900,220100,229700,233200,234200,235500,248200,253300,256600,256300,259200,250800,25e4,247100,249100,242700,254300,266700,289e3,292200,294100
399651,84096,Utah,1176,297900,301200,300300,296900,297900,290700,265500,263100,259600,283e3,282500,282300,270800,264600,269100,264600,262800,258e3,252600,257e3,25e4,262500,256700,258600,249700,245e3,244700,247500,260600,259800,256600,252600,240600,246700,245600,258400,24e4,222e3,223400,242200,255900,254400,243e3,237800,232600,241600,241e3,268900,264e3,262700,243700,245900,259400,261600,258500,258800,264800,279400,277100,282400,276900,293100,289100,292800,293600,296300,3e5,299600,3e5,284600,276400,269400,286900,286600,287900,281100,284800,297100,304600,306300,315200,321800,338900,328600,320800,303e3,307600,316400,314e3,313800,311700,321200,321200,321700,330200,337300,341700,333600,331300,336200,343700,337700,333300,325e3,324800,328800,332400,343200,351100,361100,368400,364200,360100,359300,356100,356500,362200,364700,381700,388700,391300,365700,343100,352400,379100,
93280,80203,Colorado,1177,207600,209900,223900,220500,211400,209100,196600,190300,200400,193900,193100,177100,173700,183300,171200,182e3,169400,183100,168700,164500,157200,168600,169300,186900,188200,199600,175100,172500,166900,164500,151800,164900,169100,190700,184100,187100,180600,185700,186200,195800,21e4,237600,227600,222800,228500,243e3,205900,186400,168800,197300,187300,197200,19e4,190700,176e3,175800,205300,219800,212100,189400,183700,215200,225300,241100,223600,211e3,186600,195700,220300,224500,218100,198200,213900,218800,228300,223200,231300,235700,249300,240800,228100,225600,240300,267800,263300,251800,232500,231100,229800,242100,250300,248800,260100,289800,311900,292600,274300,254400,274500,272700,293500,293200,311200,317400,305200,295600,262e3,286600,295200,326600,311300,316600,313500,340300,330300,361500,345100,360500,321600,334300,330400,358e3,329e3,332e3,320900,348200
90676,75081,Texas,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170700,167900,171700,174800,177100,179500,182400,183700,183100,178100,174600,174800,180500,181600,180700,185300,184700,185500,186200,188700,199200,200100,202200,199500,203400,209700,208e3,201300,205900,207800,207e3,199600,204500,216500,226900,231800,232100,231900,236400,241400,243100,245400,261100,266300,262900,252900,253300,253400,250700,248300,249700,250100,257400,257500,268200,255500,263600,250600,265300,263800,268400,
94998,85614,Arizona,1179,,,,,,,,,,,,,139900,144900,150500,145e3,143e3,131100,134800,141700,145800,138800,124200,127500,129400,139e3,128100,128800,126500,132e3,128500,132500,133200,131400,121600,127600,127700,129200,126300,125700,120500,112500,113200,113100,112e3,109e3,111200,115600,118500,121e3,118e3,117900,116700,110700,109e3,111800,117700,114200,115100,117800,128300,13e4,125600,123800,123600,129400,126900,123300,124800,126600,131700,127e3,125300,125100,128e3,128200,127900,130800,134100,139400,134400,130700,123200,128700,129700,128600,128200,129e3,127700,124e3,128900,133900,136e3,135800,137500,141300,139600,142600,142e3,147100,144e3,137900,133800,135600,141900,145200,144700,143e3,146e3,143300,145300,142100,149e3,151200,151500,152600,158e3,161500,161500,165600,166900,169900,164e3,163800,160500,160600
80288,50317,Iowa,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66800,61e3,63800,63400,59200,60500,63800,71500,76200,73300,80800,85600,93900,81700,78400,71700,63900,57400,62100,68400,73800,72400,74700,75700,78400,81200,83300,84100,84800,84800,84800,76400,76600,69600,71700,74500,81400,87300,84100,84600,84400,85500,92800,92900,89200,85200,89400,95900,95300,93e3,94e3,94400,97400,92100,92600,92700,97200,107300,113700,124700,112900,109100,98500,102700,106900,110700,111400,110500,111400,110800,110400,110100,112700,113100,107200,107300,107100,111900,112800,113e3,112900,110200,120300,137400,145800,134200,115700,110100,109200,
89935,73110,Oklahoma,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62100,62600,67200,75200,81800,75300,73900,70700,75800,73600,77200,75800,79800,77600,79700,81100,78300,77e3,75100,79800,74600,75900,77400,84900,78200,77400,
