Zip,PctPriceCut,BS_DaysOnMarket,BuyerSellerIndex,MarketHealthIndex,ZHVI,YoY,ForecastYoYPctChange,NegativeEquity,Delinquency,MH_DaysOnMarket,DaysOnMarket_Average
12110,13.28671329,76.0,0.857142857,5.565529623,262400.0,11.56462585,0.02886814,0.077369439,0.0,71.0,73.5
12054,8.928571429,71.0,0.285714286,1.884408231,277600.0,5.913773369,0.037154179,0.050595238,0.058823529,64.0,67.5
12831,20.86330935,84.5,8.285714286,5.031763569,268300.0,4.845642829,0.042076034,0.091707317,0.010638298,87.0,85.75
12118,13.19148936,95.0,4.0,0.685678774,269100.0,6.955484897,0.039260498,0.089552239,0.060606061,85.5,90.25
12182,14.13043478,103.0,6.571428571,5.052478939,148500.0,6.681034483,0.079925926,0.184647303,0.134831461,99.0,101.0
12019,13.01775148,89.0,3.142857143,5.296229803,289700.0,3.835125448,0.045909562,0.070493454,0.014285714,91.0,90.0
12308,21.875,104.0,9.428571429,1.171799475,126200.0,18.38649156,0.063938193,0.206956522,0.084033613,98.0,101.0
12188,17.54385965,73.0,2.0,1.463195691,217400.0,0.741427247,0.065630175,0.122557726,0.043478261,81.0,77.0
12211,22.85714286,104.5,9.714285714,4.645076647,299100.0,11.06572596,0.050173855,0.09103079,0.073529412,76.5,90.5
12209,10.81081081,76.5,0.571428571,3.031349261,160100.0,8.102633356,0.069587758,0.145985401,0.1125,76.0,76.25
12061,19.40298507,89.0,8.0,2.943654191,241500.0,1.598653765,0.056571429,0.081799591,0.025,84.0,86.5
12803,19.14893617,89.0,7.142857143,0.261704185,165900.0,-1.014319809,0.074575045,0.111688312,0.093023256,81.0,85.0
12033,11.76470588,107.5,6.0,9.446209087,214000.0,9.518935517,0.049350467,0.07918552,0.0,107.0,107.25
12198,18.75,83.0,4.857142857,2.720618699,192200.0,5.315068493,0.060280957,0.103686636,0.044444444,84.0,83.5
12009,17.5,96.0,7.714285714,6.588868941,261800.0,12.50537172,0.029419404,0.067331671,0.037037037,80.5,88.25
12077,20.0,80.5,5.428571429,1.981770474,288300.0,5.065597668,0.039791883,0.055408971,0.047619048,72.0,76.25
12822,23.80952381,118.0,10.0,1.262947107,144100.0,3.669064748,0.074524636,0.18503937,0.106382979,81.0,99.5
87114,23.17880795,68.0,3.2,2.737881508,217300.0,4.722891566,0.024767602,0.106215,0.04494382,66.0,67.0
87111,24.42748092,61.0,1.6,5.366662063,263700.0,5.818619583,0.020720516,0.082693231,0.023222061,68.0,64.5
87120,31.33802817,73.0,8.8,2.06256042,194600.0,2.691292876,0.032857143,0.114295491,0.039670659,66.0,69.5
87121,14.72222222,63.0,0.4,0.097362243,145000.0,4.316546763,0.032165517,0.119317649,0.083267871,57.0,60.0
87124,19.1011236,65.0,0.8,2.061179395,180900.0,3.786574871,0.030353787,0.097001589,0.064483112,61.0,63.0
87109,26.76056338,57.0,2.8,3.246098605,231200.0,3.491495076,0.025281142,0.098484848,0.030769231,57.0,57.0
87112,29.61672474,66.0,8.0,5.673249551,182500.0,7.542722451,0.030871233,0.108927232,0.037190083,63.0,64.5
87105,18.4079602,82.0,4.0,0.335589007,139200.0,2.958579882,0.041695402,0.152015733,0.071151358,82.0,82.0
87123,25.47528517,64.0,3.6,0.403259218,184100.0,2.906651761,0.049120043,0.113489574,0.042276423,58.0,61.0
87110,27.89855072,66.0,7.2,4.426874741,184100.0,2.79173646,0.037457903,0.12449187,0.029931973,64.5,65.25
87108,27.0718232,88.0,9.6,4.979284629,163400.0,5.829015544,0.035312118,0.144106331,0.036407767,78.0,83.0
87031,16.99716714,76.0,2.4,3.576163513,145600.0,8.172362556,0.040837912,0.097313163,0.097447796,71.0,73.5
87144,20.49689441,66.5,1.2,0.856925839,188400.0,2.446982055,0.024373673,0.094667319,0.052971576,60.0,63.25
87107,23.42857143,74.0,6.0,2.74133407,192500.0,4.054054054,0.032238961,0.124462289,0.034562212,79.0,76.5
87106,24.3902439,71.5,5.6,5.738157713,232300.0,6.804597701,0.010413259,0.155808656,0.011695906,70.0,70.75
87102,21.66666667,91.0,7.6,1.271233255,135200.0,5.873140172,0.03364645,0.184087363,0.046610169,82.0,86.5
87002,15.42553191,96.0,4.4,5.428808176,117200.0,9.943714822,0.042636519,0.118186449,0.056034483,93.0,94.5
87122,22.94117647,80.0,6.8,3.80334208,504000.0,1.042502005,0.012599206,0.073211314,0.018181818,76.5,78.25
87113,35.82089552,60.0,6.4,1.695207844,266100.0,1.410060976,0.016313416,0.110675381,0.039370079,64.0,62.0
87104,22.44897959,74.5,5.2,4.241126916,206100.0,15.65656566,0.010198933,0.124047124,0.033519553,84.0,79.25
87004,16.4556962,94.0,4.8,5.895594531,224700.0,10.74420897,0.044161104,0.089786756,0.025,64.0,79.0
87048,21.21212121,96.5,8.4,2.702665378,437600.0,6.342648846,0.031711609,0.091766724,0.028037383,64.0,80.25
87059,26.59574468,87.5,9.2,2.136445242,245500.0,4.959384352,0.023788187,0.131000814,0.01242236,74.5,81.0
87043,25.0,107.0,10.0,7.136445242,434800.0,10.55174167,0.025223091,0.054945055,0.022222222,64.0,85.5
87047,16.66666667,79.0,2.0,2.708189477,303600.0,10.27969488,0.013791173,0.088676671,0.015384615,77.0,78.0
18103,14.5,65.0,0.588235294,1.427979561,162500.0,7.544672402,0.053070769,0.099969335,0.078220859,63.0,64.0
18104,20.0,72.0,2.941176471,2.756525342,214900.0,6.28090999,0.039334574,0.073371925,0.037475345,68.5,70.25
18102,16.50485437,79.0,2.352941176,3.523684574,79000.0,30.14827018,0.130898734,0.258992806,0.059722222,68.0,73.5
18042,21.18644068,77.5,3.823529412,0.152603232,132800.0,9.120788825,0.015451807,0.172879967,0.061611374,74.0,75.75
18017,19.01840491,70.0,1.764705882,2.954702389,222100.0,5.611031859,0.036807744,0.06429592,0.04691358,63.0,66.5
18018,27.39726027,67.0,4.852941176,0.344565668,157100.0,4.593874834,0.015467855,0.118201754,0.06122449,63.0,65.0
